|step|customer|age|gender|zipcodeOri|merchant|zipMerchant|category|amount|fraud
311897|102|'C1000148617'|'5'|'M'|'28007'|'M480139044'|'28007'|'es_health'|323.64|1
110007|39|'C100045114'|'4'|'M'|'28007'|'M732195782'|'28007'|'es_travel'|3902.93|1
261362|87|'C100045114'|'4'|'M'|'28007'|'M2122776122'|'28007'|'es_home'|52.11|1
262575|87|'C100045114'|'4'|'M'|'28007'|'M1873032707'|'28007'|'es_hotelservices'|39.86|1
436153|137|'C100045114'|'4'|'M'|'28007'|'M1353266412'|'28007'|'es_hotelservices'|960.66|1
510372|157|'C100045114'|'4'|'M'|'28007'|'M1198415165'|'28007'|'es_wellnessandbeauty'|48.9|1
100311|36|'C1001065306'|'1'|'M'|'28007'|'M480139044'|'28007'|'es_health'|906.87|1
128614|46|'C1001065306'|'1'|'M'|'28007'|'M17379832'|'28007'|'es_sportsandtoys'|55.74|1
299958|98|'C1001065306'|'1'|'M'|'28007'|'M2122776122'|'28007'|'es_home'|1260.94|1
383480|122|'C1001065306'|'1'|'M'|'28007'|'M480139044'|'28007'|'es_health'|1024.36|1
400723|127|'C1001065306'|'1'|'M'|'28007'|'M50039827'|'28007'|'es_health'|80.72|1
404363|128|'C1001065306'|'1'|'M'|'28007'|'M209847108'|'28007'|'es_wellnessandbeauty'|152.08|1
437224|137|'C1001065306'|'1'|'M'|'28007'|'M840466850'|'28007'|'es_tech'|364.52|1
456488|142|'C1001065306'|'1'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|100.89|1
463040|144|'C1001065306'|'1'|'M'|'28007'|'M480139044'|'28007'|'es_health'|18.18|1
494583|153|'C1001065306'|'1'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|270.77|1
504873|155|'C1001065306'|'1'|'M'|'28007'|'M17379832'|'28007'|'es_sportsandtoys'|230.36|1
401821|127|'C1005806982'|'4'|'M'|'28007'|'M151143676'|'28007'|'es_barsandrestaurants'|170.85|1
92192|33|'C1007572087'|'2'|'F'|'28007'|'M480139044'|'28007'|'es_health'|794.96|1
170069|59|'C1007572087'|'2'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|3329.24|1
383889|122|'C1007572087'|'2'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|7635.41|1
546691|167|'C1010936270'|'3'|'M'|'28007'|'M1198415165'|'28007'|'es_wellnessandbeauty'|67.35|1
354750|114|'C1012876398'|'3'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|213.33|1
449884|140|'C1012876398'|'3'|'M'|'28007'|'M480139044'|'28007'|'es_health'|219.96|1
491700|152|'C1012876398'|'3'|'M'|'28007'|'M732195782'|'28007'|'es_travel'|2143.37|1
539353|165|'C1012876398'|'3'|'M'|'28007'|'M1741626453'|'28007'|'es_sportsandtoys'|137.74|1
154726|54|'C1013199152'|'4'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|215.55|1
17971|7|'C1013313546'|'2'|'F'|'28007'|'M209847108'|'28007'|'es_wellnessandbeauty'|172.21|1
35111|13|'C1013313546'|'2'|'F'|'28007'|'M2122776122'|'28007'|'es_home'|494.42|1
310890|101|'C1013313546'|'2'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|387.42|1
365163|117|'C1013313546'|'2'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|74.48|1
391307|124|'C1014313887'|'5'|'F'|'28007'|'M480139044'|'28007'|'es_health'|473.43|1
523277|160|'C1014313887'|'5'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|276.06|1
287458|94|'C1014347664'|'6'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|407.28|1
292345|96|'C1014347664'|'6'|'M'|'28007'|'M3697346'|'28007'|'es_leisure'|402.0|1
311898|102|'C1014347664'|'6'|'M'|'28007'|'M480139044'|'28007'|'es_health'|374.39|1
322843|105|'C1014347664'|'6'|'M'|'28007'|'M1888755466'|'28007'|'es_otherservices'|100.26|1
327410|106|'C1014347664'|'6'|'M'|'28007'|'M2011752106'|'28007'|'es_hotelservices'|476.54|1
439232|137|'C1014347664'|'6'|'M'|'28007'|'M151143676'|'28007'|'es_barsandrestaurants'|275.55|1
540463|165|'C1014347664'|'6'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|60.19|1
564573|171|'C1014347664'|'6'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|341.27|1
576320|175|'C1017941602'|'5'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|154.25|1
591437|179|'C1017941602'|'5'|'M'|'28007'|'M2122776122'|'28007'|'es_home'|1132.01|1
76001|28|'C1018153896'|'3'|'F'|'28007'|'M1294758098'|'28007'|'es_leisure'|380.42|1
367475|117|'C1018153896'|'3'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|320.95|1
127549|45|'C1018783569'|'2'|'M'|'28007'|'M923029380'|'28007'|'es_home'|237.15|1
241689|81|'C1018979501'|'3'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|482.6|1
442729|138|'C1019071188'|'4'|'M'|'28007'|'M732195782'|'28007'|'es_travel'|645.02|1
343574|111|'C1019678929'|'4'|'F'|'28007'|'M840466850'|'28007'|'es_tech'|851.65|1
109744|39|'C1020019215'|'4'|'F'|'28007'|'M480139044'|'28007'|'es_health'|853.6|1
110226|40|'C1020019215'|'4'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|741.51|1
227843|77|'C102010508'|'2'|'F'|'28007'|'M855959430'|'28007'|'es_hyper'|127.9|1
71839|27|'C1021896897'|'4'|'M'|'28007'|'M17379832'|'28007'|'es_sportsandtoys'|559.85|1
189505|65|'C1021896897'|'4'|'M'|'28007'|'M855959430'|'28007'|'es_hyper'|187.65|1
204678|70|'C1021896897'|'4'|'M'|'28007'|'M480139044'|'28007'|'es_health'|1510.34|1
220080|74|'C1021896897'|'4'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|973.23|1
430407|135|'C1021896897'|'4'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|362.14|1
452198|141|'C1021896897'|'4'|'M'|'28007'|'M732195782'|'28007'|'es_travel'|1455.29|1
569846|173|'C1021896897'|'4'|'M'|'28007'|'M480139044'|'28007'|'es_health'|403.31|1
46065|17|'C1022530210'|'4'|'M'|'28007'|'M480139044'|'28007'|'es_health'|91.39|1
47158|18|'C1022530210'|'4'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|562.03|1
231211|78|'C1022530210'|'4'|'M'|'28007'|'M855959430'|'28007'|'es_hyper'|27.26|1
233023|78|'C1022530210'|'4'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|178.3|1
410953|130|'C1022530210'|'4'|'M'|'28007'|'M1873032707'|'28007'|'es_hotelservices'|740.18|1
506572|156|'C1022530210'|'4'|'M'|'28007'|'M1649169323'|'28007'|'es_sportsandtoys'|185.71|1
564146|171|'C1022530210'|'4'|'M'|'28007'|'M1198415165'|'28007'|'es_wellnessandbeauty'|244.73|1
50507|19|'C1022713215'|'2'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|1381.39|1
88009|32|'C1022713215'|'2'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|289.19|1
559358|170|'C1022713215'|'2'|'F'|'28007'|'M480139044'|'28007'|'es_health'|316.86|1
262655|87|'C102364766'|'2'|'F'|'28007'|'M17379832'|'28007'|'es_sportsandtoys'|303.15|1
361208|116|'C102364766'|'2'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|277.48|1
389224|124|'C102364766'|'2'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|374.87|1
202305|69|'C1023694383'|'6'|'F'|'28007'|'M3697346'|'28007'|'es_leisure'|367.84|1
535473|164|'C1028995887'|'2'|'F'|'28007'|'M1873032707'|'28007'|'es_hotelservices'|110.71|1
292341|96|'C1030484150'|'2'|'F'|'28007'|'M1888755466'|'28007'|'es_otherservices'|160.66|1
12198|4|'C1032319289'|'3'|'F'|'28007'|'M855959430'|'28007'|'es_hyper'|127.28|1
17515|7|'C1032319289'|'3'|'F'|'28007'|'M480139044'|'28007'|'es_health'|784.69|1
22775|9|'C1032319289'|'3'|'F'|'28007'|'M1888755466'|'28007'|'es_otherservices'|186.8|1
30878|12|'C1032319289'|'3'|'F'|'28007'|'M1873032707'|'28007'|'es_hotelservices'|177.99|1
34964|13|'C1032319289'|'3'|'F'|'28007'|'M480139044'|'28007'|'es_health'|214.49|1
145962|51|'C1032319289'|'3'|'F'|'28007'|'M2122776122'|'28007'|'es_home'|67.77|1
327869|106|'C103240070'|'2'|'F'|'28007'|'M78078399'|'28007'|'es_wellnessandbeauty'|333.01|1
396109|125|'C103240070'|'2'|'F'|'28007'|'M480139044'|'28007'|'es_health'|339.22|1
441738|138|'C103240070'|'2'|'F'|'28007'|'M480139044'|'28007'|'es_health'|93.14|1
473408|147|'C1033416330'|'3'|'M'|'28007'|'M1353266412'|'28007'|'es_hotelservices'|46.66|1
155767|54|'C1033736586'|'4'|'F'|'28007'|'M732195782'|'28007'|'es_travel'|1965.81|1
175200|61|'C1033736586'|'4'|'F'|'28007'|'M480139044'|'28007'|'es_health'|514.37|1
325179|105|'C1035154937'|'6'|'M'|'28007'|'M3697346'|'28007'|'es_leisure'|200.3|1
372217|119|'C1035154937'|'6'|'M'|'28007'|'M1873032707'|'28007'|'es_hotelservices'|582.75|1
381293|121|'C1035154937'|'6'|'M'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|53.15|1
401040|127|'C1035154937'|'6'|'M'|'28007'|'M732195782'|'28007'|'es_travel'|1794.47|1
554917|169|'C1035154937'|'6'|'M'|'28007'|'M480139044'|'28007'|'es_health'|48.08|1
132782|47|'C1036903280'|'4'|'F'|'28007'|'M857378720'|'28007'|'es_hotelservices'|393.26|1
356857|114|'C1036903280'|'4'|'F'|'28007'|'M980657600'|'28007'|'es_sportsandtoys'|676.76|1
